Rank,Name,Total_net_worth,Last_change,YTD_change,Country,Industry
86,Yeung Kin-Man,12800000000,-215000000.0,789000000.0,Hong Kong,Technology
87,John Menard Jr,12600000000,0,1020000.0,United States,Retail
88,Dietrich Mateschitz,12600000000,-29200000.0,1470000.0,Austria,Food & Beverage
89,Charlene de Carvalho-Heineken,12600000000,-149000,1430000.0,Netherlands,Food & Beverage
90,Takemitsu Takizaki,12500000000,54600000.0,1850000.0,Japan,Technology
91,Lui Che Woo,12400000000,23000000.0,2140000.0,Hong Kong,Entertainment
92,Yongxing Liu,12300000000,17100000.0,1810000.0,China,Industrial
93,Peter Woo,12300000000,-2590000.0,+3100000000,Hong Kong,Real Estate
94,Robin Li,12300000000,66700000.0,415000000.0,China,Technology
95,George Kaiser,12300000000,47000000.0,-939000000.0,United States,Energy
96,Elon R Musk,12300000000,-5630000.0,+1600000000,United States,Technology
97,Klaus-Michael Kuehne,12200000000,-69200000.0,700000000.0,Germany,Industrial
98,Andrey Melnichenko,12100000000,-38200000.0,845000000.0,Russian,Industrial
99,Steve Cohen,12100000000,0,899000000.0,United States,Finance
100,Hugh Grosvenor,12000000000.0,0,0,United Kingdom,Real Estate
101,Hasso Plattner,12000000000.0,-12700000.0,+190000000,Germany,Technology
102,Patrick Drahi,11900000000,-15900000.0,1610000.0,France,Media & Telecom
103,Lukas Walton,11900000000,39600000.0,72200000.0,United States,Retail
104,Donald Newhouse,11800000000,50300000.0,539000000.0,United States,Media & Telecom
105,Carlos Sicupira,11800000000,-7220000.0,721000000.0,Brazil,Food & Beverage
106,Vagit Alekperov,11700000000,129000000.0,-255000000.0,Russian,Energy
107,Luis Sarmiento,11500000000,187000000.0,267000000.0,Colombia,Finance
108,Gennady Timchenko,11500000000,-57100000.0,10100000.0,Russian,Diversified
109,Petr Kellner,11500000000,-65099999.99999999,83100000.0,Czech Republic,Diversified
110,Yang Huiyan,11400000000,-64800000.0,4280000.0,China,Real Estate
111,Heinz Hermann Thiele,11400000000,4260000.0,837000000.0,Germany,Industrial
112,Karl Albrecht Jr,11300000000,-20600000.0,183000000.0,Germany,Retail
113,Beate Heister,11300000000,-20600000.0,183000000.0,Germany,Retail
114,Eric Schmidt,11100000000,86900000.0,495000000.0,United States,Technology
115,Mikhail Prokhorov,11100000000,8550000.0,301000000.0,Russian,Diversified
116,Sara Mota de Larrea,11000000000.0,369000000.0,1170000.0,Mexico,Commodities
117,Alain Wertheimer,10900000000,104000000.0,676000000.0,France,Consumer
118,Gerard Wertheimer,10900000000,104000000.0,676000000.0,France,Consumer
119,Raymond Kwok,10900000000,-21700000.0,1240000.0,Hong Kong,Real Estate
120,Leonard Lauder,10800000000,14100000.0,881000000.0,United States,Consumer
121,Thomas Kwok,10800000000,-21100000.0,1240000.0,Hong Kong,Real Estate
122,Steve Schwarzman,10800000000,-66000000.0,718000000.0,United States,Finance
123,Roman Abramovich,10800000000,29800000.0,70400000.0,Russian,Diversified
124,Hans Rausing,10800000000,-20800000.0,312000000.0,Sweden,Diversified
125,Phil Anschutz,10800000000,21200000.0,162000000.0,United States,Diversified
126,Kjeld Kristiansen,10700000000,-44400000.0,589000000.0,Denmark,Consumer
127,Hui Ka Yan,10200000000,745000000.0,2760000.0,China,Real Estate
128,Aliko Dangote,10000000000.0,242000000.0,-349000000.0,Nigeria,Industrial
129,Zhang Zhidong,9990000000.0,82200000.0,1590000.0,China,Technology
130,David Tepper,9870000000.0,+15500,15200000.0,United States,Finance
131,John Fredriksen,9820000000.0,-26600000.0,-132000000.0,Cyprus,Industrial
132,Jan Koum,9820000000.0,25000000.0,991000000.0,United States,Technology
133,Micky Arison,9750000000.0,-30800000.0,666000000.0,United States,Entertainment
134,Walter Kwok,9660000000.0,-18900000.0,1080000.0,Hong Kong,Real Estate
135,Dmitry Rybolovlev,9520000000.0,23800000.0,-87300000.0,Russian,Diversified
136,Jim Goodnight,9480000000.0,7270000.0,259000000.0,United States,Technology
137,German Khan,9360000000.0,7320000.0,168000000.0,Russian,Diversified
138,Budi Hartono,9320000000.0,124000000.0,767000000.0,Indonesia,Diversified
139,Mohammed Al-Amoudi,9240000000.0,68700000.0,189000000.0,Saudi Arabia,Energy
140,He Xiangjian,9220000000.0,-37800000.0,1400000.0,China,Consumer
141,Eyal Ofer,9000000000.0,25700000.0,408000000.0,Israel,Services
142,Michael Hartono,8960000000.0,121000000.0,742000000.0,Indonesia,Diversified
143,Stephen Ross,8930000000.0,0,0,United States,Real Estate
144,Thomas Frist,8920000000.0,-36500000.0,1120000.0,United States,Health Care
145,Cyrus Poonawalla,8880000000.0,188000000.0,883000000.0,India,Health Care
146,Andy Beal,8860000000.0,-20800000.0,-195000000.0,United States,Finance
147,Uday Kotak,8790000000.0,28300000.0,1690000.0,India,Finance
148,Jim Kennedy,8790000000.0,8420000.0,77300000.0,United States,Media & Telecom
149,Blair Parry-Okeden,8790000000.0,8420000.0,77300000.0,United States,Media & Telecom
150,Galen Weston,8740000000.0,-21300000.0,156000000.0,Canada,Retail
151,Jeff Hildebrand,8700000000.0,0,-569000000.0,United States,Energy
152,Patrick Soon-Shiong,8690000000.0,40200000.0,-133000000.0,United States,Health Care
153,Carl Cook,8660000000.0,23700000.0,580000000.0,United States,Health Care
154,Tan Siok Tjien,8630000000.0,109000000.0,364000000.0,Indonesia,Consumer
155,John Malone,8580000000.0,19300000.0,476000000.0,United States,Media & Telecom
156,Paolo Rocca,8550000000.000001,-83400000.0,-662000000.0,Italy,Commodities
157,Joseph Lau,8480000000.0,-458000,505000000.0,Hong Kong,Real Estate
158,Reinhold Wuerth,8380000000.000001,-48100000.0,492000000.0,Germany,Industrial
159,Lei Jun,8380000000.000001,18900000.0,1110000.0,China,Technology
160,August von Finck,8340000000.0,-20100000.0,345000000.0,Germany,Diversified
161,Mohamed Al Jaber,8289999999.999999,0,56100000.0,Saudi Arabia,Retail
162,Marijke Mars,8210000000.000001,28300000.0,408000000.0,United States,Food & Beverage
163,Valerie Mars,8210000000.000001,28300000.0,408000000.0,United States,Food & Beverage
164,Pam Mars-Wright,8210000000.000001,28300000.0,408000000.0,United States,Food & Beverage
165,Victoria Mars,8210000000.000001,28300000.0,408000000.0,United States,Food & Beverage
166,Giorgio Armani,8140000000.000001,24900000.0,987000000.0,Italy,Consumer
167,Zhou Qunfei,8109999999.999999,-145000000.0,950000000.0,China,Technology
168,Charles Schwab,7980000000.0,-2330000.0,180000000.0,United States,Finance
169,Kumar Birla,7970000000.0,51900000.0,1940000.0,India,Industrial
